ErrorKind,C# Topic,Suggestions
SealedKeyword,Non-Inheritable Classes (sealed),"Please use when further derivation isn't meaningful."
SelectClause,LINQ Projection (select x),"Please project only what you need for better performance."
SelectKeyword,LINQ Projection (select),"Consider if you need the whole object or just specific properties."
SemicolonToken,Statement Terminator (;),"Please keep statements concise for readability."
SetAccessorDeclaration,Setter (set { ... }),"Please validate inputs in setters but avoid complex logic."
SetKeyword,Property Accessor (set),"Consider init-only setters for immutable objects."
ShortKeyword,Short Integer (short),"Please use only when memory constraints exist - int is usually better."
SimpleAssignmentExpression,Assignment (x = y),"Please consider object initializers for complex initialization."
SimpleBaseType,Base Type (class C : B),"Please prefer composition over deep inheritance hierarchies."
SimpleLambdaExpression,Lambda (x => x),"Great for LINQ - please keep lambdas small and focused."
SimpleMemberAccessExpression,Member Access (x.Property),"Please follow Law of Demeter - don't chain too many accesses."
SingleLineCommentTrivia,Comments (//),"Please use to explain why; not what - the code should explain what."
SingleLineDocumentationCommentTrivia,XML Documentation (///),"Please document all public APIs thoroughly."
SingleLineRawStringLiteralToken,Raw Strings ("""text"""),"New in C# 11 - great for strings with many quotes."
SingleQuoteToken,Character Literals ('),"For chars; please remember single quotes (not double)."
SizeOfExpression,Size in Bytes (sizeof(int)),"Primarily used in unsafe contexts - please ensure it's needed."
SizeOfKeyword,Size in Bytes (sizeof),"Please understand this gives the managed size; which may differ from unmanaged."
SlashEqualsToken,Division Assignment (/=),"Please ensure you're not accidentally dividing by zero."
SlashGreaterThanToken,XML Documentation (/>),"Please properly close all XML documentation tags."
SlashToken,Division Operator (/); Comments (//),"For division; watch for integer division when you might want floating-point."
StackAllocArrayCreationExpression,Stack Allocation (stackalloc int[10]),"High-performance but risky - please consider Span<T> as an alternative."
StackAllocKeyword,Stack Allocation (stackalloc),"Please keep stackalloc blocks small to avoid overflow."
StaticKeyword,Static Members (static),"Please avoid overuse as it can make code less testable."
StringKeyword,String Type (string),"Remember strings are immutable - please use StringBuilder for heavy concatenation."
StringLiteralExpression,String Literals ("text"),"Please prefer interpolation over concatenation for building strings."
StringLiteralToken,Strings ("text"),"For multi-line strings; consider verbatim strings (@) or raw strings."
StructConstraint,Value Type Constraint (struct),"When constraining generics; please ensure the constraint is truly necessary."
StructDeclaration,Struct (struct S { ... }),"Please use only for small; immutable types - classes are usually better."
StructKeyword,Struct Declaration (struct),"Remember structs are value types - please understand implications."
SubtractAssignmentExpression,Compound Assignment (x -= y),"Common in loops and counters - please ensure it's clear."
SubtractExpression,Subtraction (x - y),"Please watch for underflow in unsigned arithmetic."
SwitchExpression,Switch Expressions,"Modern alternative to switch statements - very expressive."
SwitchKeyword,Switch Statement (switch),"In modern C#; please consider switch expressions over statements."
SwitchSection,Switch Case Block (case 1: ... ),"Please include break/return unless intentionally falling through."
SwitchStatement,Switch (switch (x) { ... }),"Please consider pattern matching for more expressive switches."
ThisConstructorInitializer,This Constructor (this()),"Please ensure another constructor exists to avoid infinite recursion."
ThisExpression,Current Instance (this),"Please use when needed to disambiguate; but avoid overuse."
ThrowKeyword,Exception Throwing (throw),"Please throw specific exception types that clearly indicate the problem."
ThrowStatement,Exception Throw (throw ex),"Please don't throw System.Exception - use specific derived types."
TrueKeyword,Boolean True (true),"Please don't compare to true explicitly (use if (condition) rather than if (condition == true))."
TrueLiteralExpression,Boolean True (true),"The true literal is rarely needed directly - used automatically in conditions."
TryKeyword,Exception Handling (try),"Please catch only exceptions you can handle meaningfully."
TryStatement,Exception Handling (try { ... }),"Please keep try blocks focused on the operation that might fail."
TypeArgumentList,Generic Arguments (<T>),"Please avoid deeply nested generics for readability."
TypeCref,XML Documentation (cref="T:Type"),"Please keep documentation references up-to-date."
TypeConstraint,Type Constraint (T : IDisposable),"Please ensure constraints are truly necessary for your generic."
TypeKeyword,Type Attribute Target (type),"Please document why types need special attributes."
TypeOfExpression,Type Reflection (typeof(int)),"Please consider nameof() when you need strings for member names."
TypeOfKeyword,Type Reflection (typeof),"This gets Type objects - useful for reflection but has performance costs."
TypeParameter,Generic Type Parameter (T),"Please use descriptive names for type parameters in public APIs."
TypeParameterConstraintClause,Generic Constraints (where T : new()),"Please consider if constraints make the API too restrictive."
TypeParameterList,Generic Parameters (<T>),"Please limit the number of type parameters for readability."
TypeVarKeyword,Generic Type Parameter (typevar),"This is for documentation - please use to document generic parameters."
UIntKeyword,Unsigned Integer (uint),"Please use carefully as lack of negative values can be surprising."
ULongKeyword,Unsigned Long (ulong),"Please use for very large unsigned ranges only when needed."
UnaryMinusExpression,Unary Negation (-x),"Please ensure the negation makes logical sense in context."
UnaryPlusExpression,Unary Plus (+x),"This is rarely needed as it's a no-op - please ensure it's intentional."
UndefDirectiveTrivia,Preprocessor Symbols (#undef),"Please ensure this doesn't conflict with build configurations."
UndefKeyword,Preprocessor Symbol (#undef),"Please document why symbols are being undefined."
UnderscoreToken,Discard Pattern (_),"Great for ignoring out parameters or unused lambda parameters."
UnmanagedKeyword,Unmanaged Constraints (unmanaged),"This is an advanced feature - please ensure it's truly needed."
UnsafeKeyword,Unsafe Code (unsafe),"Please limit unsafe blocks to only what's absolutely necessary."
UnsafeStatement,Unsafe Block (unsafe { ... }),"Please keep unsafe blocks small and clearly commented."
UsingDirective,Using (using System;),"Please organize usings logically (System first; then others; then your namespaces)."
UsingKeyword,Namespace Import (using),"Please consider using static for frequently used static members."
UsingStatement,Resource Management (using (var x = ...)),"Please use for all IDisposable objects to ensure proper cleanup."
Utf8StringLiteralExpression,UTF-8 Strings ("text"u8),"Great for low-level UTF8 handling - please document usage."
Utf8StringLiteralToken,UTF-8 Strings ("text"u8),"This creates ReadOnlySpan<byte> - please understand the implications."
VarKeyword,Implicit Typing (var),"Please use when the type is obvious from the right-hand side."
VariableDeclaration,Variable Declaration (int x),"Please initialize variables where they're declared when possible."
VariableDeclarator,Variable Initialization (x = 0),"Please consider object initializers for complex initialization."
VirtualKeyword,Virtual Methods (virtual),"Please document expected behavior in base class for overriders."
VoidKeyword,Void Return Type (void),"For async methods; please return Task instead of void."
VolatileKeyword,Thread-Safe Fields (volatile),"This is an advanced threading feature - please understand implications fully."
WarningDirectiveTrivia,Compiler Warnings (#warning),"Please use for TODO markers or important notes."
WarningKeyword,Compiler Warning (#warning),"Please address warnings promptly rather than suppressing them."
WhereClause,LINQ Where (where x > 0),"Please ensure your filter conditions are efficient for the data size."
WhereKeyword,Generic Constraints (where),"Constraints should make the API safer without being overly restrictive."
WhileKeyword,While Loop (while),"Please ensure your loop has a clear exit condition."
WhileStatement,While Loop (while (x) { }),"Pre-test loops - please ensure the condition will eventually become false."
WithExpression,Record Copying,"Great for immutable updates - please ensure all necessary properties are set."
WithKeyword,Record Copying (with),"This creates a modified copy - please ensure all relevant properties are considered."
XmlCDataEndToken,XML Documentation (]]>),"This ends CDATA sections - rarely needed in normal documentation."
XmlCDataSection,XML Documentation (<![CDATA[ ]]>),"Please use only when you need to escape XML special characters."
XmlCrefAttribute,XML Documentation (cref="Member"),"Please verify these references stay valid during refactoring."
XmlComment,XML Documentation (<!-- -->),"Please use standard /// comments instead for most documentation."
XmlCommentEndToken,XML Documentation (-->),"Please properly terminate all XML comments."
XmlCommentStartToken,XML Documentation (<!--),"Please use standard /// comments for most documentation needs."
XmlElement,XML Documentation (<element>),"Please use standard XML doc elements like summary; returns; etc."
XmlElementEndTag,XML Documentation (</element>),"Please properly close all XML elements."
XmlElementStartTag,XML Documentation (<element>),"Please follow standard XML doc conventions."
XmlEmptyElement,XML Documentation (<element/>),"Self-closing tags are fine for elements with no content."
XmlName,XML Documentation (element names),"Please use standard doc element names like summary; remarks; etc."
XmlNameAttribute,XML Documentation (name="param"),"Please keep these in sync with method parameters."
XmlPrefix,XML Documentation (namespace prefixes),"Rarely needed in normal documentation."
XmlProcessingInstruction,XML Documentation (<? ?>),"Mostly for XML files rather than code documentation."
XmlProcessingInstructionEndToken,XML Documentation (?>),"Please properly terminate processing instructions."
XmlProcessingInstructionStartToken,XML Documentation (<?),"Rarely used in normal C# code documentation."
XmlText,XML Documentation (text content),"Please write clear; complete documentation."
XmlTextAttribute,XML Documentation (attribute="text"),"Please use standard doc attributes like cref; name; etc."
XmlTextLiteralNewLineToken,XML Documentation (newline),"Please format documentation for readability."
XmlTextLiteralToken,XML Documentation (text),"Please maintain complete and accurate documentation."
YieldBreakStatement,Iterator Termination (yield break),"This ends an iterator sequence - please ensure all paths terminate."
YieldKeyword,Iterator Blocks (yield),"Please understand deferred execution implications."
YieldReturnStatement,Iterator Yield (yield return x),"This produces sequence values one at a time - great for large datasets."
